,CLIMATE,RU,THETA,A,B,ALPHA,BETA,VCM,PPQ,SIAE
EXP-ctrl_proj,MARv3.9_MIROC-rcp85_ctrl_proj_climate_2008-2100_v1.nc,MAR3.9_MIROC-ESM-CHEM_ctrl_proj_ocean_2008-2100_v4.nc,MAR3.9_MIROC-ESM-CHEM_ctrl_proj_ocean_2008-2100_v4.nc,3e-4,0.15,0.39,1.18,vct_calib_g1000m_g450m.nc,0.6,1.25
EXP-1,MARv3.9_MIROC5-rcp85_climate_2008-2100_v1.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_2008-2100_v4.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_2008-2100_v4.nc,3e-4,0.15,0.39,1.18,vct_calib_g1000m_g450m.nc,0.6,1.25
EXP-2,MARv3.9_NorESM1-rcp85_climate_2008-2100_v1.nc,MAR3.9_NorESM1-M_rcp85_ocean_2008-2100_v4.nc,MAR3.9_NorESM1-M_rcp85_ocean_2008-2100_v4.nc,3e-4,0.15,0.39,1.18,vct_calib_g1000m_g450m.nc,0.6,1.25
EXP-3,MARv3.9_MIROC5-rcp26_climate_2008-2100_v1.nc,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_2008-2100_v4.nc,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_2008-2100_v4.nc,3e-4,0.15,0.39,1.18,vct_calib_g1000m_g450m.nc,0.6,1.25
EXP-4,MARv3.9_HadGEM2-ES-rcp85_climate_2008-2100_v1.nc,MAR3.9_HadGEM2-ES_rcp85_ocean_2008-2100_v4.nc,MAR3.9_HadGEM2-ES_rcp85_ocean_2008-2100_v4.nc,3e-4,0.15,0.39,1.18,vct_calib_g1000m_g450m.nc,0.6,1.25
