,CTYPE,FTYPE,HTYPE,CLIMATE,RU,THETA,SCAV,A,B,ALPHA,BETA,VCM,TCT,GAMMA_T,S,PPQ,SIAE
CALV-0.5-1.25-250-350,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.50,calving_250m_350m_1996-01-01_1998-01-01.nc,1.25e-4,,0.6,1.25
CALV-0.5-1.25-250-400,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.50,calving_250m_400m_1996-01-01_1998-01-01.nc,1.25e-4,,0.6,1.25
CALV-0.5-1.25-250-500,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.50,calving_250m_500m_1996-01-01_1998-01-01.nc,1.25e-4,,0.6,1.25
