,CLIMATE,RU,THETA,A,B,ALPHA,BETA,TCT,VCM,PPQ,SIAE,OK
MIROC-1.0,MARv3.9_MIROC5_ismip6_1990-2100.nc,MARv3.9_MIROC5_ismip6_1990-2100.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v2.nc,3e-4,0.15,0.39,1.18,-2,1.0,0.6,1.25,0
MIROC-0.9,MARv3.9_MIROC5_ismip6_1990-2100.nc,MARv3.9_MIROC5_ismip6_1990-2100.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v2.nc,3e-4,0.15,0.39,1.18,-2,0.9,0.6,1.25,0
MIROC-0.8,MARv3.9_MIROC5_ismip6_1990-2100.nc,MARv3.9_MIROC5_ismip6_1990-2100.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v2.nc,3e-4,0.15,0.39,1.18,-2,0.8,0.6,1.25,0
MIROC-0.7,MARv3.9_MIROC5_ismip6_1990-2100.nc,MARv3.9_MIROC5_ismip6_1990-2100.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v2.nc,3e-4,0.15,0.39,1.18,-2,0.7,0.6,1.25,0
MIROC-0.6,MARv3.9_MIROC5_ismip6_1990-2100.nc,MARv3.9_MIROC5_ismip6_1990-2100.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v2.nc,3e-4,0.15,0.39,1.18,-2,0.6,0.6,1.25,0
MIROC-0.5,MARv3.9_MIROC5_ismip6_1990-2100.nc,MARv3.9_MIROC5_ismip6_1990-2100.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v2.nc,3e-4,0.15,0.39,1.18,-2,0.5,0.6,1.25,0
MIROC-0.4,MARv3.9_MIROC5_ismip6_1990-2100.nc,MARv3.9_MIROC5_ismip6_1990-2100.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v2.nc,3e-4,0.15,0.39,1.18,-2,0.4,0.6,1.25,0
MIROC-0.3,MARv3.9_MIROC5_ismip6_1990-2100.nc,MARv3.9_MIROC5_ismip6_1990-2100.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v2.nc,3e-4,0.15,0.39,1.18,-2,0.3,0.6,1.25,0
