id,m_min,m_max,h_min,h_ela,h_max,vct,hydro,frontal_melt_file
ELA1750-2-VC0.5,-1.0,2.0,0,1750,2000,0.5,diffuse,synth_jib_runoff_g1000m_constant.nc
ELA1750-3-VC0.5,-1.5,1.5,0,1750,2000,0.5,diffuse,synth_jib_runoff_g1000m_constant.nc
ELA1750-4-VC0.5,-2.0,1.5,0,1750,2000,0.5,diffuse,synth_jib_runoff_g1000m_constant.nc
ELA1750-5-VC0.5,-2.5,1.5,0,1750,2000,0.5,diffuse,synth_jib_runoff_g1000m_constant.nc
ELA1750-6-VC0.5,-2.75,1.25,0,1750,2000,0.5,diffuse,synth_jib_runoff_g1000m_constant.nc
STEADY,-2.75,1.25,0,1750,2000,0.4,steady,synth_jib_runoff_g1000m_4.0C_34.0Sv.nc
STEADY-RM,-2.75,1.25,0,1750,2000,0.4,steady,synth_jib_runoff_g1000m_4.2C_34.1Sv.nc
STEADY-RM-VC0.35,-2.75,1.25,0,1750,2000,0.35,steady,synth_jib_runoff_g1000m_4.2C_34.1Sv.nc
ROUTING,-2.75,1.25,0,1750,2000,0.4,routing,synth_jib_runoff_g1000m_constant.nc
