id,climate,hydrology,frontal_melt,climate_file,runoff_file,frontal_melt_file,calving_rate_scaling_file,vcm,thickness_calving_threshold,gamma_T,salinity,pseudo_plastic_q,sia_e
CTRL-0.4-200-1.00,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_20216_MRROS_EPSG3413_4500M_MM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving_0_1980_2020.nc,0.4,200,1.00e-4,,0.6,1.25
CTRL-0.4-200-1.25,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving_0_1980_2020.nc,0.4,200,1.25e-4,,0.6,1.25
CTRL-0.4-200-1.50,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving_0_1980_2020.nc,0.4,200,1.50e-4,,0.6,1.25
SEASON-CALV-0.4-200-1.50,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving_1_1980_2020.nc,0.4,200,1.50e-4,,0.6,1.25
CTRL-0.8-400-1.50,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving_0_1980_2020.nc,0.8,400,1.50e-4,,0.6,1.25
CTRL-1.2-400-1.50,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving_0_1980_2020.nc,1.2,400,1.50e-4,,0.6,1.25
